timestamp,type,amount,asset,note

2025-09-24T05:25:05Z,DEPOSIT,3.08573300,USDT,Deposit
2025-09-24T08:51:58Z,PNL,-0.00198700,USDT,Trade (AVNT-USDT-SWAP)
2025-09-24T09:17:32Z,PNL,-0.24734625,USDT,Trade (AVNT-USDT-SWAP)
2025-09-24T09:53:43Z,DEPOSIT,9.26000000,USDT,Deposit
2025-09-24T10:41:04Z,PNL,-0.00611340,USDT,Trade (SIGN-USDT-SWAP)
2025-09-24T10:49:53Z,PNL,-0.91483350,USDT,Trade (SIGN-USDT-SWAP)
2025-09-24T12:04:09Z,PNL,-0.02301394,USDT,Trade (NMR-USDT-SWAP)
2025-09-24T12:53:16Z,PNL,-1.23494585,USDT,Trade (NMR-USDT-SWAP)
2025-09-24T12:56:21Z,PNL,-0.01003500,USDT,Trade (WLFI-USDT-SWAP)
2025-09-24T16:00:01Z,PNL,-0.00250125,USDT,Funding Fee (WLFI-USDT-SWAP)
2025-09-24T20:00:00Z,PNL,-0.00249500,USDT,Funding Fee (WLFI-USDT-SWAP)
2025-09-24T21:29:06Z,PNL,-1.02458750,USDT,Trade (WLFI-USDT-SWAP)
2025-09-25T00:19:20Z,PNL,-0.01898148,USDT,Trade (NMR-USDT-SWAP)
2025-09-25T00:56:02Z,PNL,-0.69677820,USDT,Trade (NMR-USDT-SWAP)
2025-09-25T00:59:21Z,PNL,-0.01740920,USDT,Trade (FARTCOIN-USDT-SWAP)
2025-09-25T02:33:02Z,PNL,-0.92436320,USDT,Trade (FARTCOIN-USDT-SWAP)
2025-09-25T03:49:38Z,DEPOSIT,41.66000000,USDT,Deposit
2025-09-25T03:53:11Z,PNL,-0.09528000,USDT,Trade (WLFI-USDT-SWAP)
2025-09-25T04:00:00Z,PNL,-0.02389200,USDT,Funding Fee (WLFI-USDT-SWAP)
2025-09-25T07:06:16Z,PNL,-2.63700000,USDT,Trade (WLFI-USDT-SWAP)
2025-09-25T09:49:17Z,PNL,-0.09215040,USDT,Trade (WLFI-USDT-SWAP)
2025-09-25T12:00:00Z,PNL,0.02313040,USDT,Funding Fee (WLFI-USDT-SWAP)
2025-09-25T13:46:58Z,PNL,-0.23037600,USDT,Trade (WLFI-USDT-SWAP)
2025-09-26T00:00:06Z,PNL,-0.08730180,USDT,Trade (SPK-USDT-SWAP)
2025-09-26T04:00:00Z,PNL,2.37492250,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-26T08:00:00Z,PNL,1.51040619,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-26T12:00:00Z,PNL,0.33232061,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-26T16:00:01Z,PNL,0.25913226,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-26T20:00:00Z,PNL,0.19541547,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-27T00:00:00Z,PNL,0.10700422,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-27T04:00:00Z,PNL,0.01831038,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-27T08:00:00Z,PNL,-0.02118960,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-27T12:00:00Z,PNL,-0.02057400,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-27T16:00:00Z,PNL,-0.02165535,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-27T20:00:00Z,PNL,-0.02065500,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-28T00:00:00Z,PNL,-0.02060235,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-28T04:00:00Z,PNL,0.00496585,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-28T08:00:00Z,PNL,-0.01039983,USDT,Funding Fee (SPK-USDT-SWAP)
2025-09-28T11:23:53Z,PNL,-43.28870850,USDT,Trade (SPK-USDT-SWAP)
2025-09-28T11:33:39Z,PNL,-0.03096144,USDT,Trade (MERL-USDT-SWAP)
2025-09-28T12:00:00Z,PNL,-0.00133969,USDT,Funding Fee (MERL-USDT-SWAP)
2025-09-28T13:39:40Z,PNL,0.00488062,USDT,Auto Import
2025-09-28T13:39:40Z,PNL,-7.87968540,USDT,Trade (MERL-USDT-SWAP)
2025-11-17T07:23:45Z,DEPOSIT,281.29000000,USDT,Deposit
2025-11-17T13:47:42Z,PNL,-0.69736340,USDT,Trade (ZEC-USDT-SWAP)
2025-11-17T13:54:27Z,PNL,19.41228640,USDT,Trade (ZEC-USDT-SWAP)
2025-11-17T18:32:46Z,PNL,-1.47969800,USDT,Trade (RESOLV-USDT-SWAP)
2025-11-17T19:00:00Z,PNL,-0.50429995,USDT,Funding Fee (RESOLV-USDT-SWAP)
2025-11-17T20:00:00Z,PNL,0.03992352,USDT,Funding Fee (RESOLV-USDT-SWAP)
2025-11-17T20:00:12Z,PNL,0.56329863,USDT,Auto Import
2025-11-17T20:00:12Z,PNL,-298.62414720,USDT,Trade (RESOLV-USDT-SWAP)
2025-11-17T20:05:19Z,DEPOSIT,138.88000000,USDT,Deposit
2025-11-17T20:08:01Z,PNL,-0.66888395,USDT,Trade (RESOLV-USDT-SWAP)
2025-11-17T21:00:00Z,PNL,-0.01616411,USDT,Funding Fee (RESOLV-USDT-SWAP)
2025-11-17T22:00:00Z,PNL,-0.01608390,USDT,Funding Fee (RESOLV-USDT-SWAP)
2025-11-17T23:00:00Z,PNL,-0.01573976,USDT,Funding Fee (RESOLV-USDT-SWAP)
